Date,Description,Amount,Type
2024-01-02,AMAZON PURCHASE,89.99,debit
2024-01-03,SALARY DEPOSIT,4500.00,credit
2024-01-04,STARBUCKS COFFEE,6.45,debit
2024-01-05,NETFLIX SUBSCRIPTION,15.99,debit
2024-01-06,WHOLE FOODS MARKET,127.34,debit
2024-01-08,UBER RIDE,24.50,debit
2024-01-09,AT&T WIRELESS,85.00,debit
2024-01-10,SHELL GAS STATION,52.30,debit
2024-01-12,CHIPOTLE MEXICAN GRILL,14.25,debit
2024-01-13,SPOTIFY PREMIUM,10.99,debit
2024-01-14,TARGET STORE,156.78,debit
2024-01-15,ELECTRIC COMPANY,142.50,debit
2024-01-16,RENT PAYMENT,1800.00,debit
2024-01-17,DOORDASH ORDER,38.99,debit
2024-01-18,COSTCO WHOLESALE,234.56,debit
2024-01-19,FREELANCE PAYMENT,850.00,credit
2024-01-20,CVS PHARMACY,28.45,debit
2024-01-21,MCDONALD'S,12.34,debit
2024-01-22,APPLE STORE,999.00,debit
2024-01-23,WATER UTILITY,45.00,debit
2024-01-25,TRADER JOE'S,89.23,debit
2024-01-26,LYFT RIDE,18.75,debit
2024-01-27,GYM MEMBERSHIP,49.99,debit
2024-01-28,INTEREST EARNED,12.50,credit
2024-01-29,DOMINO'S PIZZA,22.99,debit
2024-01-30,AMAZON PRIME,14.99,debit
2024-02-01,SALARY DEPOSIT,4500.00,credit
2024-02-02,CHEESECAKE FACTORY,87.50,debit
2024-02-03,STEAM GAMES,59.99,debit
2024-02-04,VERIZON WIRELESS,95.00,debit
2024-02-05,WHOLE FOODS MARKET,145.67,debit
2024-02-06,UBER EATS,42.30,debit
2024-02-07,SHELL GAS STATION,48.90,debit
2024-02-08,NETFLIX SUBSCRIPTION,15.99,debit
2024-02-09,HOME DEPOT,312.45,debit
2024-02-10,STARBUCKS COFFEE,7.25,debit
2024-02-12,ELECTRIC COMPANY,138.75,debit
2024-02-14,VALENTINE'S DINNER,185.00,debit
2024-02-15,RENT PAYMENT,1800.00,debit
2024-02-16,AMAZON PURCHASE,67.89,debit
2024-02-17,PANERA BREAD,16.45,debit
2024-02-18,SPOTIFY PREMIUM,10.99,debit
2024-02-19,COSTCO GAS,42.00,debit
2024-02-20,DIVIDEND PAYMENT,45.00,credit
2024-02-21,TRADER JOE'S,112.34,debit
2024-02-22,WALGREENS,34.56,debit
2024-02-23,OLIVE GARDEN,62.00,debit
2024-02-24,CAR INSURANCE,145.00,debit
2024-02-25,GYM MEMBERSHIP,49.99,debit
2024-02-26,KROGER GROCERY,98.45,debit
2024-02-27,UBER RIDE,31.25,debit
2024-02-28,INTERNET BILL,79.99,debit
2024-03-01,SALARY DEPOSIT,4500.00,credit
2024-03-02,VACATION FLIGHT,650.00,debit
2024-03-03,HOTEL BOOKING,425.00,debit
2024-03-04,AIRBNB,380.00,debit
2024-03-05,RESTAURANT ABROAD,95.00,debit
2024-03-06,TOURIST ACTIVITIES,220.00,debit
2024-03-07,SOUVENIR SHOPPING,175.00,debit
2024-03-08,NETFLIX SUBSCRIPTION,15.99,debit
2024-03-10,WHOLE FOODS MARKET,134.56,debit
2024-03-11,ELECTRIC COMPANY,145.00,debit
2024-03-12,STARBUCKS COFFEE,5.95,debit
2024-03-13,SPOTIFY PREMIUM,10.99,debit
2024-03-14,AMAZON PURCHASE,234.99,debit
2024-03-15,RENT PAYMENT,1800.00,debit
2024-03-16,SHELL GAS STATION,55.00,debit
2024-03-17,CHIPOTLE MEXICAN GRILL,15.50,debit
2024-03-18,BONUS PAYMENT,1200.00,credit
2024-03-19,BESTBUY ELECTRONICS,549.99,debit
2024-03-20,TRADER JOE'S,95.67,debit
2024-03-21,UBER RIDE,22.00,debit
2024-03-22,DENTIST APPOINTMENT,150.00,debit
2024-03-23,CVS PHARMACY,42.30,debit
2024-03-24,GYM MEMBERSHIP,49.99,debit
2024-03-25,SUSHI RESTAURANT,78.00,debit
2024-03-26,WATER UTILITY,48.00,debit
2024-03-27,CAR MAINTENANCE,485.00,debit
2024-03-28,KROGER GROCERY,112.34,debit
2024-03-29,DOORDASH ORDER,35.50,debit
2024-03-30,INTEREST EARNED,14.25,credit
2024-03-31,AMAZON PURCHASE,45.67,debit
